model_id,feature_set,task,split,fold,label_mode,layer,dev_accuracy,dev_macro_f1
allam-7b,full_prompt_final,gender,random,2,real,30,0.9534574468085106,0.9507277577572892
allam-7b,full_prompt_final,gender,random,2,real,31,0.9507978723404256,0.9479807582649533
allam-7b,full_prompt_final,gender,random,3,real,0,0.9773936170212766,0.9757639640630243
allam-7b,full_prompt_final,gender,random,3,real,1,0.9800531914893617,0.9787082635720663
allam-7b,full_prompt_final,gender,random,3,real,2,0.9747340425531915,0.9729917224770945
allam-7b,full_prompt_final,gender,random,3,real,3,0.9747340425531915,0.9729524566733869
allam-7b,full_prompt_final,gender,random,3,real,4,0.9787234042553191,0.9772397094430993
allam-7b,full_prompt_final,gender,random,3,real,5,0.973404255319149,0.9715080285222821
allam-7b,full_prompt_final,gender,random,3,real,6,0.9840425531914894,0.9829544166647777
allam-7b,full_prompt_final,gender,random,3,real,7,0.9787234042553191,0.977272555553037
allam-7b,full_prompt_final,gender,random,3,real,8,0.973404255319149,0.9715906944412962
allam-7b,full_prompt_final,gender,random,3,real,9,0.9720744680851063,0.9700168028935152
allam-7b,full_prompt_final,gender,random,3,real,10,0.9787234042553191,0.9772064228178257
allam-7b,full_prompt_final,gender,random,3,real,11,0.9813829787234043,0.9800847457627119
allam-7b,full_prompt_final,gender,random,3,real,12,0.9827127659574468,0.9814665607540773
allam-7b,full_prompt_final,gender,random,3,real,13,0.9787234042553191,0.9772064228178257
allam-7b,full_prompt_final,gender,random,3,real,14,0.9800531914893617,0.9785511776886613
allam-7b,full_prompt_final,gender,random,3,real,15,0.9787234042553191,0.9772064228178257
allam-7b,full_prompt_final,gender,random,3,real,16,0.9747340425531915,0.9729917224770945
allam-7b,full_prompt_final,gender,random,3,real,17,0.9747340425531915,0.9729524566733869
allam-7b,full_prompt_final,gender,random,3,real,18,0.976063829787234,0.9743946731234867
allam-7b,full_prompt_final,gender,random,3,real,19,0.9773936170212766,0.975799566497241
allam-7b,full_prompt_final,gender,random,3,real,20,0.973404255319149,0.9714658652824576
allam-7b,full_prompt_final,gender,random,3,real,21,0.9840425531914894,0.9829048171133692
allam-7b,full_prompt_final,gender,random,3,real,22,0.973404255319149,0.9715496368038741
allam-7b,full_prompt_final,gender,random,3,real,23,0.9813829787234043,0.9801418439716312
allam-7b,full_prompt_final,gender,random,3,real,24,0.9720744680851063,0.9702338205773418
allam-7b,full_prompt_final,gender,random,3,real,25,0.9747340425531915,0.9730686948080711
allam-7b,full_prompt_final,gender,random,3,real,26,0.9747340425531915,0.9729917224770945
allam-7b,full_prompt_final,gender,random,3,real,27,0.976063829787234,0.9743946731234867
allam-7b,full_prompt_final,gender,random,3,real,28,0.9654255319148937,0.9630145278450364
allam-7b,full_prompt_final,gender,random,3,real,29,0.9561170212765957,0.9532245751929656
allam-7b,full_prompt_final,gender,random,3,real,30,0.9468085106382979,0.9433423493335946
allam-7b,full_prompt_final,gender,random,3,real,31,0.9507978723404256,0.9479122010577058
allam-7b,full_prompt_final,gender,random,4,real,0,0.9707446808510638,0.9689244524587701
allam-7b,full_prompt_final,gender,random,4,real,1,0.976063829787234,0.9746431381364504
allam-7b,full_prompt_final,gender,random,4,real,2,0.9867021276595744,0.9857953472206481
allam-7b,full_prompt_final,gender,random,4,real,3,0.9813829787234043,0.9801974238593958
allam-7b,full_prompt_final,gender,random,4,real,4,0.9787234042553191,0.9774904214559387
allam-7b,full_prompt_final,gender,random,4,real,5,0.9840425531914894,0.9830263633080535
allam-7b,full_prompt_final,gender,random,4,real,6,0.976063829787234,0.9745395449620802
allam-7b,full_prompt_final,gender,random,4,real,7,0.9747340425531915,0.9730686948080711
allam-7b,full_prompt_final,gender,random,4,real,8,0.9800531914893617,0.9787682178290502
allam-7b,full_prompt_final,gender,random,4,real,9,0.9813829787234043,0.9801698222667581
